session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
325939a1-87d6-40b8-9d51-3a7797f2725d	2026-05-06T10:20:41+08:00	-home-ant-code-java-java-server-inherit	glm-5.1	2116	8	29306	1095	337024	0	test
f1597aa3-c50c-4322-a1d6-6c61520b286c	2026-05-06T01:53:07.923Z	xueqiu-crawler	glm-5.1	1715	59	67702	16617	1817984	0	main
798061d5-c72a-4235-9593-11bf9c43bdc6	2026-05-06T11:03:25+08:00	-home-ant-code-java-java-server-inherit	glm-5.1	538	13	40653	2402	616576	0	master
b66df234-b3bd-4dcc-bd49-f1ecc1a4233b	2026-05-06T05:44:18.047Z	inherit	glm-5.1	70644	23	36313	3734	454272	0	test
875699ca-1b73-4d83-a25b-7ece8e152e3e	2026-05-06T14:59:09+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	3382	32	38605	7831	1114880	0	main
98b38f59-558a-45c2-9be4-9798440232a3	2026-05-06T15:25:19+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	1401	12	91746	15226	604224	0	main
8637b769-93ea-4587-a227-5e6ccb551979	2026-05-06T18:18:27+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	289	8	48981	5694	326144	0	main
ac60b487-9a97-4363-a1f6-a47705a1748f	2026-05-06T10:08:40.160Z	xueqiu-crawler	glm-5.1	142	22	52224	1333	197888	0	main
afccac83-22fc-4c78-825a-6fdf400b8eb2	2026-05-06T10:04:06.275Z	xueqiu-crawler	glm-5.1	201	10	37536	587	106368	0	main
3ebbae57-b240-4123-9d87-365a1e651c5a	2026-05-06T18:22:28+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	229	6	37216	5411	229824	0	main
1ba914e8-3f79-4f72-aaa4-a47077144286	2026-05-06T18:28:54+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	373	26	43090	7707	1512128	0	main
c3eafc39-c3d2-47b2-9d8e-b26c9b4fa199	2026-05-06T18:37:03+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	177	7	48799	3647	268544	0	main
7312265a-c024-4501-8b95-4a69eb6825aa	2026-05-06T10:29:09.437Z	xueqiu-crawler	glm-5.1	89	18	25582	1045	172544	0	main
9f46d922-8dd4-4f27-9f7f-eec4ddfc8ab6	2026-05-06T18:49:13+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	716	38	74315	19728	2753728	0	main
e8458e4e-4d32-4dfb-ad40-e98ce00bb2ec	2026-05-06T19:17:55+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	187	9	32329	4797	277248	0	main
37872c4b-d7f9-422d-846a-a939970884ec	2026-05-06T11:04:43.694Z	xueqiu-crawler	glm-5.1	121	14	49130	778	91072	0	main
538342ad-b872-402e-be4a-3656f6fbe98e	2026-05-06T11:09:42.056Z	xueqiu-crawler	glm-5.1	130	35	32508	1964	471680	0	main
6b6e2d31-6139-4b88-aa20-f569cfdd187a	2026-05-06T10:59:49.177Z	xueqiu-crawler	glm-5.1	180	35	33785	1811	396032	0	main
954ed20e-99bb-493c-b4c0-827d5ff47284	2026-05-06T10:54:35.712Z	xueqiu-crawler	glm-5.1	212	15	13323	1279	155200	0	main
981bf68e-326c-4759-9fb5-2c75e09c5b68	2026-05-06T10:49:35.515Z	xueqiu-crawler	glm-5.1	289	35	25746	6638	419520	0	main
7a8db9fe-cd80-4bfb-9b6b-a1a08dbc8167	2026-05-06T19:28:42+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	626	44	41862	15304	2260032	0	main
