session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
11335418-b546-4e26-a832-99ec320d1519	2026-04-08T02:25:21.725Z	scrm-api	glm-5	12161	438	279864	87051	21597056	0	feature/saveole/9.2
f383573c-107c-4380-91c4-4ed818129b7e	2026-04-08T06:10:11.466Z	scrm-api	glm-5	13681	235	252860	16977	11082880	0	feature/saveole/9.2
03425463-8e91-4382-a439-8a560b9341fa	2026-04-08T10:06:29.535Z	xz-work-logs	glm-5	255	45	15045	5856	582208	0	main
192c9853-e2ef-4473-89d0-1c83136dca16	2026-04-08T12:40:14.479Z	xz-work-logs	glm-5	993	76	117848	16351	2759296	0	main
2085c69e-0e53-415a-baf6-6aca4b71bbff	2026-04-08T13:05:33.901Z	xz-work-logs	glm-5.1	458	62	66930	5907	2026880	0	main
2523bdf4-c2be-4af0-830f-d865d2c41644	2026-04-08T12:36:20.456Z	xz-work-logs	glm-5	224	31	25551	5693	460736	0	main
3b76568f-1fba-423e-a69e-b2af76079a2d	2026-04-08T12:57:08.447Z	xz-work-logs	glm-5.1	270	18	7938	3526	132096	0	main
44d73d13-866c-41af-8f4b-78c0a0a4aaa1	2026-04-08T11:28:07.886Z	xz-work-logs	glm-5	214	19	15791	4777	290368	0	main
4a2a9150-5979-42e5-9ebc-4d5555c468ed	2026-04-08T10:30:53.594Z	xz-work-logs	glm-5	92	21	14078	1756	229248	0	main
56df02ca-3172-4f01-8b45-02085806f0be	2026-04-08T10:32:37.463Z	xz-work-logs	glm-5	172	28	22715	4453	388800	0	main
57f401d9-cb8a-4258-9a99-e48c227759f3	2026-04-08T13:21:33.922Z	xz-work-logs	glm-5.1	307	29	45882	1995	729984	0	main
5fb9d4dd-3a30-4062-aa2f-b97aad7067dc	2026-04-08T10:45:16.182Z	xz-work-logs	glm-5	218	25	21769	4252	388288	0	main
624f250b-4d40-4ef5-957a-a79cf19fa91c	2026-04-08T13:18:31.441Z	xz-work-logs	glm-5.1	170	16	10501	3323	232960	0	main
65f44c7d-fed5-4fbd-b7bc-078f4ab296df	2026-04-08T10:17:30.554Z	xz-work-logs	glm-5	95	15	769	933	131584	0	main
6bf90024-8412-4f7e-9df9-05d0acd51d28	2026-04-08T11:32:00.342Z	xz-work-logs	glm-5	124	30	60468	5287	393280	0	main
6d64afa8-4698-4946-818a-618e9a620c09	2026-04-08T10:16:18.848Z	xz-work-logs	glm-5	61	13	9756	613	85440	0	main
6e71f6e3-85d4-4fbe-88a7-58d9ea14afab	2026-04-08T10:27:35.766Z	xz-work-logs	glm-5	184	25	15038	5044	340992	0	main
7e2d4839-a38a-4339-a88c-162cddecabc7	2026-04-08T10:54:23.153Z	xz-work-logs	glm-5	610	83	32602	10973	2002048	0	main
7f501f56-c330-476b-9bdb-dfdc74fb645e	2026-04-08T09:34:09.887Z	xz-work-logs	glm-5	147	24	35841	1752	327744	0	master
91779d30-ebf5-49aa-b0cd-6ee1c8ea37b0	2026-04-08T11:15:10.855Z	xz-work-logs	glm-5	54	21	17778	1267	268672	0	main
9d7ea130-a5a1-4ddd-8df7-c1a123b0b16e	2026-04-08T13:13:24.971Z	xz-work-logs	glm-5.1	105	10	44906	1438	83712	0	main
a2f5d596-742e-4688-bd60-419eccf73f5d	2026-04-08T09:58:16.034Z	xz-work-logs	glm-5	86	14	9418	2413	209216	0	main
a41f35fa-667d-4976-b04f-520b80fd5e77	2026-04-08T11:34:17.050Z	xz-work-logs	glm-5	3403	485	298691	54495	22036352	0	main
a5b605bb-e4cc-4a24-95f6-93da76423aed	2026-04-08T11:20:07.492Z	xz-work-logs	glm-5	279	51	32340	7457	902592	0	main
aa828251-22a2-4b21-8ff0-07aed34a6d0a	2026-04-08T08:13:58.507Z	xz-work-logs	glm-5	2483	126	62899	14225	2159488	0	HEAD
ac34bbf2-fb4c-463f-abbc-7ccb64ab25e4	2026-04-08T11:25:10.952Z	xz-work-logs	glm-5	160	34	19000	2319	384320	0	main
ae614f1a-b7e0-441c-8dc4-27ebc12a4506	2026-04-08T10:35:42.924Z	xz-work-logs	glm-5	566	85	33883	9831	1784192	0	main
b016022d-01cc-4239-80f1-9aae71382285	2026-04-08T12:31:13.341Z	xz-work-logs	glm-5.1	282	32	58079	2111	509056	0	main
b57857f3-9c89-4602-b0bd-8744935aaf52	2026-04-08T11:04:46.860Z	xz-work-logs	glm-5	138	19	17089	3831	324480	0	main
b9120de6-62aa-4a00-b4b0-2abe120c5749	2026-04-08T10:49:12.400Z	xz-work-logs	glm-5	90	21	21177	1904	338240	0	main
c2f40807-271e-4e53-b9d9-d51f8adeece3	2026-04-08T10:10:59.646Z	xz-work-logs	glm-5	109	24	14283	1887	322752	0	main
c7448bb7-f1d7-4ace-af15-a8cc4308da07	2026-04-08T10:13:03.507Z	xz-work-logs	glm-5	171	25	10605	3688	406208	0	main
c7ec24f1-5aa2-4dfa-87d7-e726078709f3	2026-04-08T13:02:07.854Z	xz-work-logs	glm-5.1	193	17	14986	3228	259200	0	main
d18994a7-5cbe-4276-9b4a-115884148e45	2026-04-08T11:07:12.626Z	xz-work-logs	glm-5	463	72	43170	12005	2040320	0	main
