session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
48e1c4ab-303b-460e-bf21-4639dccf5f45	2026-07-30T08:06:32+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-572bb50e-workdir	glm-5.2	281	11	60325	5682	554560	0	HEAD	0	claude
a4178c89-0215-4b64-afc2-4253ad732756	2026-07-30T08:31:55+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-e257cd1b-workdir	glm-5.2	35	3	37385	523	63936	0	HEAD	0	claude
6ae72751-e304-4b8d-a49c-db9eb98fe9dc	2026-07-30T09:48:43+08:00	-home-ant-code-java-scrm-api	glm-5.2	124	13	30563	2655	652608	0	feat/9.7/NFQX-12446	0	claude
80eb96fc-8ce2-4f6d-a4e0-e4300445ac7c	2026-07-30T10:27:01+08:00	-home-ant-code-java-scrm-api	glm-5.2	40	4	47578	2026	193472	0	master	0	claude
584ebd6d-e264-4a93-adff-3ed75aef0abe	2026-07-30T16:27:49+08:00	saveole.github.io	gemini-3.6-flash-high	233	52	42577	6773	0	0	main	242	agy
a0d2bc0f-e19e-433b-a372-bddb9f06a265	2026-07-30T15:30:21+08:00	mcp-gateway	gemini-3.6-flash-high	2661	48	48387	5878	0	0	master	2266	agy
6dcef11e-2a38-45f0-9588-209f5e762fc4	2026-07-30T16:51:01+08:00	saveole.github.io	gemini-3.6-flash-high	300	27	16592	5099	0	0	main	195	agy
1bee5a83-032b-4d2d-a5ee-5f99efed4d3d	2026-07-30T17:05:30+08:00	saveole.github.io	gemini-3.6-flash	6	3	206	148	0	0	main	135	agy
20260730_213636_6d0cd550	2026-07-30T21:36:36+08:00	构建并上传 ims 镜像至 DEV 服务器	glm-5.2	593	58	23363	2517	597056	0	unknown	0	hermes
sess_24d355f7-8a56-4c31-aaaf-c94908b62d6d	2026-07-30T11:31:04+08:00	default	GLM-5.2	482	3	330373	13401	295488	0	main	0	zcode
sess_f4864558-70f6-4e1e-8f0a-45f1fd203cb2	2026-07-30T10:59:50+08:00	scrm-api	GLM-5.2	1075	4	2743626	53732	2532480	0	master	0	zcode
