session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
ses_034126b40ffeRK535X3o2zmK5z	2026-08-04T16:39:32+08:00	inherit-mcp-server	deepseek-v4-flash	298	41	24027	5686	778880	0	master	3305	opencode
ses_032d060feffe2YoKCvgilJpVJF	2026-08-04T22:31:18+08:00	saveole.github.io	deepseek-v4-flash	76	14	42589	1603	392704	0	main	2516	opencode
sess_231c80e5-64ee-4a74-b1f7-4c81f6ea6dab	2026-08-04T22:30:06+08:00	inherit-mcp-server	GLM-5.2	125	1	193806	4502	163008	0	master	0	zcode
sess_2cd125f0-30ea-4136-a6b7-51cfa768013f	2026-08-04T16:54:52+08:00	inherit-mcp-server	GLM-5.2	1079	4	3276065	22301	3174080	0	master	0	zcode
