session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
38cc5675-b364-4409-a337-8a338670bc1f	2026-06-25T08:04:06+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-c1349a32-workdir	glm-5.2	103	3	14767	966	73408	0	HEAD	0	claude
3386ec0c-e470-46bd-b5ab-35b666263649	2026-06-25T09:51:40+08:00	-home-ant-code-java-scrm-api	glm-5.2	842	13	42018	6086	404352	0	dev	0	claude
ses_10385443fffeZEyh1yi77WjvpG	2026-06-25T09:52:42+08:00	scrm-api	deepseek-v4-pro	139	14	56798	7523	457856	0	dev	3854	opencode
ses_1036f9f71ffeEA7uvl5lKFdB0j	2026-06-25T10:16:20+08:00	scrm-api	deepseek-v4-pro	103	18	48446	5495	478720	0	dev	2457	opencode
912d4119-775c-4924-a4db-5c4f69e0859c	2026-06-25T17:30:09+08:00	-home-ant-projects-xueqiu-crawler	glm-5.2	12459	127	508991	104190	15100992	0	main	0	claude
ae5fde09-436d-460a-bbde-66eef355e6bf	2026-06-25T18:59:29+08:00	-home-ant-projects-xueqiu-crawler	glm-5.2	3334	46	231725	33033	2980992	0	feat/prompt-mgmt-and-sentiment-indicators	0	claude
7696245e-1371-4e7d-a961-7deb48388fe6	2026-06-25T19:23:44+08:00	-home-ant-projects-xueqiu-crawler	glm-5.2	525	27	71238	15513	1148224	0	feat/prompt-mgmt-and-sentiment-indicators	0	claude
db55d1fa-537b-4217-8cc6-f2f14aaaee07	2026-06-25T19:59:59+08:00	-home-ant-projects-xueqiu-crawler	glm-5.2	1305	33	216140	29053	2143680	0	feat/prompt-mgmt-and-sentiment-indicators	0	claude
ses_1015cd861ffer6zxpGSAJbZJ8s	2026-06-25T19:56:05+08:00	workdir	deepseek-v4-flash	75	12	79502	7780	447744	0	unknown	1103	opencode
ses_1015d1387ffe1bTNgHQRZm9wQ7	2026-06-25T19:55:50+08:00	workdir	deepseek-v4-flash	175	8	23062	3092	111232	0	unknown	1701	opencode
ses_1015b9273ffefutftFLpqYaDUl	2026-06-25T19:57:29+08:00	workdir	deepseek-v4-flash	39	6	35946	4079	120192	0	unknown	579	opencode
