session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
20260423_192734_63f618	2026-04-23T19:35:50+08:00	xueqiu-crawler	glm-5.1	456	27	81415	3387	291968	0	main
f9a685c0-372e-40c2-bc4e-c65e65d0beff	2026-04-23T19:47:32+08:00	kv	glm-5.1	0	9	33509	4387	252224	0	main
20260423_193857_a93f94	2026-04-23T20:36:17+08:00	saveole.github.io	glm-5.1	3404	24	41530	1806	138560	0	main
20260423_194337_a18dd1	2026-04-23T19:43:37+08:00	unknown	glm-5.1	0	51	28764	4774	243968	0	unknown
