session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
15de41b7-ae7a-49b5-8deb-58bb4b71eb00	2026-06-18T08:01:38+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-e7b4ba14-workdir	glm-5.2	44	3	28275	583	54976	0	HEAD	0	claude
ses_127b9281effewZ4BSG3wuefJgV	2026-06-18T09:09:41+08:00	xiaoyuzhoufm	deepseek-v4-flash	858	40	40770	28276	1840768	0	main	11523	opencode
ses_1278cb246fferY54cXuNVKRGWZ	2026-06-18T09:58:15+08:00	ssh	deepseek-v4-flash	4	3	13620	76	17280	0	unknown	75	opencode
ses_1277c7cb0ffe14VSPM3YPTGrzD	2026-06-18T10:15:58+08:00	mcp-gateway	deepseek-v4-flash	2367	35	18826	5868	585984	0	master	4039	opencode
801fdf32-941c-4310-9df1-7d737017c05c	2026-06-18T11:01:33+08:00	-home-ant-code-golang-src-mcp-gateway	glm-5.2	4950	95	327047	83156	11279808	0	master	0	claude
c1ef7cd9-c87b-4ce0-9e16-7965b9ba849f	2026-06-18T11:34:26+08:00	-home-ant-code-golang-src-mcp-gateway	glm-5.2	43	3	22252	434	111040	0	master	0	claude
d5a59b2f-febb-49bc-9450-fc7e77ba14af	2026-06-18T11:48:39+08:00	-home-ant-code-golang-src-mcp-gateway	glm-5.2	590	39	66058	12110	2839104	0	master	0	claude
ses_12722a811ffekky0YtCBVutFZG	2026-06-18T11:54:05+08:00	mcp-gateway	deepseek-v4-flash	721	16	3344	2009	178304	0	master	338	opencode
