session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
b1402056-f6e0-4087-a87b-27ecc483c72e	2026-05-26T08:01:29+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-9ac482ec-workdir	glm-5.1	42	2	21457	260	38848	0	HEAD
133392f3-3016-4e5d-b225-4db7404e5276	2026-05-26T09:29:26+08:00	-home-ant-projects-app-usage	glm-5.1	444	13	55091	7218	625536	0	HEAD
9e8a1bd6-a0e9-48e0-ba22-2cdf7b8bb416	2026-05-26T09:31:47+08:00	-home-ant-projects-app-usage	glm-5.1	110	7	30745	3102	304960	0	master
4f6120f7-62dc-431d-8c83-2be2c3562b4d	2026-05-26T09:51:44+08:00	-home-ant-projects-app-usage	glm-5.1	1180	66	66331	14690	4077696	0	master
