session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
359106fb-4a23-4ee2-abb6-44f30e92437a	2026-06-17T08:03:29+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-513d4ecf-workdir	glm-5.2	35	3	9539	751	76672	0	HEAD	0	claude
ce4dbcd2-1030-42b1-b385-b3047bfd22b6	2026-06-17T09:48:51+08:00	-home-ant-projects-xueqiu-crawler	glm-5.2	2015	39	286341	24847	3776704	0	main	0	claude
a3b08353-a9c6-46a2-a73e-a7a23f40e572	2026-06-17T17:37:44+08:00	-home-ant-code-golang-src-mcp-gateway	glm-5.2	15775	75	623609	89026	7226752	0	HEAD	0	claude
ses_12b7a5982ffevCYoD08oiBLEbz	2026-06-17T15:39:49+08:00	saveole.github.io	deepseek-v4-pro	72	6	39805	5069	80256	0	main	175	opencode
ses_12b7a7441ffe28fJLuv9J35Vai	2026-06-17T15:39:42+08:00	saveole.github.io	deepseek-v4-pro	550	51	93818	19813	2457216	0	main	5052	opencode
ses_12b82f067ffeyixS3KRB3Nrz2T	2026-06-17T15:30:26+08:00	xiaoyuzhoufm	deepseek-v4-pro	230	17	57818	1731	450432	0	main	1999	opencode
ses_12b0d2cf2ffej3mMukNP78uQ2o	2026-06-17T17:39:04+08:00	mcp-gateway	deepseek-v4-pro	1802	40	32406	6425	958464	0	unknown	2511	opencode
ses_12b099f7bffe9Bqnk9RSIrJnIn	2026-06-17T17:42:56+08:00	mcp-gateway	deepseek-v4-pro	42	5	8559	2642	15616	0	unknown	354	opencode
ses_12aedf802ffeL22Gr63oshlcjC	2026-06-17T18:13:09+08:00	mcp-gateway	deepseek-v4-pro	82	6	34879	5714	62848	0	unknown	926	opencode
ses_12aee08c2ffei5VfYdkep8r44v	2026-06-17T18:13:04+08:00	mcp-gateway	deepseek-v4-pro	431	15	19673	2982	368128	0	unknown	2453	opencode
ses_12ae6850fffebpCIsBX4SrSYhp	2026-06-17T18:21:17+08:00	mcp-gateway	deepseek-v4-pro	21	5	12510	83	30720	0	unknown	95	opencode
ses_12aaa8e48ffev8L0mL41zginGW	2026-06-17T19:26:47+08:00	mcp-gateway	deepseek-v4-pro	963	88	41531	15489	3539968	0	unknown	8784	opencode
8101b286-54a0-4738-97ca-4dad9a2de5f6	2026-06-17T20:17:05+08:00	-home-ant-code-java-java-server-inherit	glm-5.2	105527	381	2141262	191435	84505536	0	master	0	claude
ses_12a7ca5beffe9ZbvciefUUDrfO	2026-06-17T20:16:55+08:00	mcp-gateway	deepseek-v4-pro	109	8	6512	654	84480	0	master	282	opencode
