session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
08a72c09-e4bf-4971-9435-b5e78362e67d	2026-04-16T01:07:45.556Z	token-usage	glm-5.1	77	12	34845	748	89792	0	main
10260891-27a4-49a2-8745-000a8b08bb39	2026-04-16T01:40:33.239Z	token-usage	glm-5.1	280	39	54370	5409	579712	0	main
14b96120-dab5-4399-941e-6a3ce218000c	2026-04-16T05:57:11Z	test-codegen	glm-5.1	605	21	98414	7841	1259840	0	master
15a7bd65-3ea9-421c-88ef-0e95da3093dc	2026-04-16T10:38:53Z	test-codegen	glm-5.1	464	37	56870	10492	2615680	0	master
20260416_204307_5cbfcb	2026-04-16T12:54:02Z	saveole.github.io	glm-5.1	655	68	52778	4995	745152	0	main
20260416_223215_557047	2026-04-16T14:34:41Z	skills	glm-5.1	119	10	2374	225	66816	0	main
24def0cf-2072-41cf-9d96-78dc935a56f6	2026-04-16T02:37:20Z	skills	glm-5.1	108	4	31064	890	66688	0	main
28001970-1ea2-44c1-8b08-5a58c2074e04	2026-04-16T10:21:22Z	test-codegen	glm-5.1	77	6	34895	1529	127808	0	master
38e542b8-19ad-4696-8119-159d2ec2e990	2026-04-16T01:39:09Z	token-usage	glm-5.1	0	33	61736	8862	1606848	0	main
3a293130-6682-4743-9744-e27d105f3b8b	2026-04-16T10:19:50Z	test-codegen	glm-5.1	642	31	40384	12588	1699328	0	master
3ccfb7c8-c272-42f6-8a01-166a419418d8	2026-04-16T02:02:37.794Z	token-usage	glm-5.1	1073	90	65439	8788	2659776	0	main
41c324c6-7565-4f98-ace0-989b42927daa	2026-04-16T10:30:59Z	test-codegen	glm-5.1	128	10	43311	3088	285184	0	master
519a5744-ec08-4d69-8ed3-3efaaa78bb99	2026-04-16T01:12:47.053Z	token-usage	glm-5.1	71	12	38122	749	86656	0	main
521fbdab-0a3c-49db-8298-59c1949cd94b	2026-04-16T06:56:45Z	scrm-api	glm-5.1	819	27	63465	4417	1543168	0	feature/scrm/9.3/clue
5f83912e-0ccb-44c6-85e9-73981438f71c	2026-04-16T01:47:16Z	token-usage	glm-5.1	0	5	39952	1260	127232	0	main
6d1d9da6-cf01-49cb-b391-d2effca1dd78	2026-04-16T01:24:23Z	token-usage	glm-5.1	0	19	23419	3697	787712	0	main
7565c216-608f-446c-81b3-b74a2169b77c	2026-04-16T03:21:41Z	yunxiao-dev-flow	glm-5.1	779	7	63067	2762	147456	0	main
9726df2a-5bd2-497a-83c4-1417e6ba7b27	2026-04-16T01:51:01Z	token-usage	glm-5.1	0	25	46251	5536	1042112	0	main
97c6707b-5b6a-4aef-be88-f63990fa9e98	2026-04-16T01:02:43.679Z	token-usage	glm-5.1	42	8	26865	490	58432	0	main
aa09e276-1375-44ca-a237-084b9e8a0d7e	2026-04-16T09:10:08Z	java_server	glm-5.1	113	7	23952	1649	174464	0	test
c26c934d-7b05-48fd-b51e-9bfaa3be1fb0	2026-04-16T01:21:08Z	token-usage	glm-5.1	0	9	16065	4015	305600	0	main
d3d96395-2a92-48e1-9f04-f6512a6a667b	2026-04-16T01:27:44Z	token-usage	glm-5.1	0	9	55077	4594	305984	0	main
eaf9b5f5-f297-4895-a75b-f6b3f1788409	2026-04-16T10:08:56Z	test-codegen	glm-5.1	148	9	37927	3569	240320	0	master
f0da0415-f53e-486d-8142-92475fe92910	2026-04-16T10:28:39Z	test-codegen	glm-5.1	419	25	52705	9208	1109504	0	master
f24a9963-ac91-4b9d-853c-aada63b073e7	2026-04-16T02:22:05.008Z	skills	glm-5.1	13039	37	73354	1512	681408	0	main
20260416_232414_ab4b84	2026-04-16T15:38:03Z	saveole.github.io	glm-5.1	800	61	32266	4250	860672	0	main
20260416_225045_d6bb45	2026-04-16T15:43:50Z	skills	glm-5.1	3168	36	70280	4337	484224	0	main
20260416_233858_23824f	2026-04-16T16:28:06Z	saveole.github.io	glm-5.1	2908	130	60160	8120	2017088	0	main
20260417_002835_fc77cc	2026-04-16T16:37:37Z	saveole.github.io	glm-5.1	507	32	21343	3727	276416	0	main
