session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
7b20eb94-11f0-42bb-a3dc-72f9a450e127	2026-06-24T10:56:42+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-dcd891f7-workdir	glm-5.1	2839202	16	76854	3491	547904	0	HEAD	0	claude
ses_1086e2d9dffebBqRnRToNPuUzs	2026-06-24T10:59:49+08:00	workdir	deepseek-v4-flash	514	13	49132	1945	230912	0	unknown	1179	opencode
ses_1085b8211ffebRc1U5U27wikal	2026-06-24T11:20:13+08:00	scrm-api	deepseek-v4-flash	521	38	137665	5599	1460736	0	feat/scrm/9.6/NFQX-12259	4401	opencode
ses_108543eedffezypeI0AHgEMh6C	2026-06-24T11:28:08+08:00	scrm-api	deepseek-v4-flash	17	5	15003	1935	35072	0	feat/scrm/9.6/NFQX-12259	208	opencode
ses_108484e66ffeQIPEqidiXX9C8C	2026-06-24T11:41:11+08:00	scrm-api	deepseek-v4-flash	10461	82	967087	16409	9097344	0	feat/9.6/NFQX-12253	19652	opencode
23ded723-65d5-4c99-ba9d-5b0ce64fd0f4	2026-06-24T12:01:08+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-b91df8ca-workdir	glm-5.2	141	3	33286	823	54016	0	HEAD	0	claude
ses_107cec295ffeA2PCthGq39tNGT	2026-06-24T13:53:57+08:00	scrm-api	deepseek-v4-flash	105	17	120726	9755	1119488	0	master	746	opencode
ses_107cefd93ffepNGx5eHTaVaAH3	2026-06-24T13:53:41+08:00	scrm-api	deepseek-v4-flash	748	66	214643	12095	6146688	0	feat/9.6/NFQX-12253	18365	opencode
ses_107aea1e2ffeyr4WlK2gRZGIMJ	2026-06-24T14:29:02+08:00	scrm-api	deepseek-v4-flash	7	4	17020	282	21376	0	feat/9.6/NFQX-12253	283	opencode
839f06da-233f-4142-bd45-cdb7cfcfe8bc	2026-06-24T14:38:46+08:00	-home-ant--agents-skills-scrm-dev	glm-5.2	9	2	42668	238	46336	0	HEAD	0	claude
ses_107a549acffe4DP4HzlgC2Bszz	2026-06-24T14:39:15+08:00	scrm-dev	deepseek-v4-pro	28	5	15303	635	42880	0	unknown	1064	opencode
ses_107a16058ffeh2I2CENP2WDozG	2026-06-24T14:43:31+08:00	scrm-api	deepseek-v4-pro	352	40	47090	7485	1698560	0	dev	3939	opencode
ses_107a0e388ffehOR2eKU0HTQdPU	2026-06-24T14:44:03+08:00	scrm-api	deepseek-v4-pro	136	15	74688	8963	663424	0	feat/9.6/NFQX-12253	989	opencode
ses_107951313ffe5jsU5MdkUEOvC9	2026-06-24T14:56:57+08:00	scrm-api	deepseek-v4-pro	1008	39	147537	9158	1503232	0	dev	5417	opencode
ses_107948968ffeNyn0dKFTza2o3i	2026-06-24T14:57:32+08:00	scrm-api	deepseek-v4-pro	118	8	103402	9154	305024	0	dev	255	opencode
ses_10716c04cffeX772bRJ1YgvDwv	2026-06-24T17:14:56+08:00	scrm-api	deepseek-v4-pro	450	22	68704	7296	943744	0	master	2862	opencode
ses_10715d053ffeKT1jPL3aUcV3Yv	2026-06-24T17:15:57+08:00	scrm-api	deepseek-v4-pro	198	13	78060	16492	430208	0	master	1127	opencode
ses_10715dcb7ffelztPdfwhZW7PrN	2026-06-24T17:15:54+08:00	scrm-api	deepseek-v4-pro	153	18	58259	10103	552448	0	master	1096	opencode
ses_107129ac5ffelBx5XRZFahohRx	2026-06-24T17:19:28+08:00	scrm-api	deepseek-v4-pro	84	7	15960	6753	103424	0	master	159	opencode
