session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
74fae944-a291-4109-b646-687343e146f0	2026-04-24T10:55:17+08:00	-home-ant-blog-saveole-github-io	glm-5.1	2324	19	27678	9552	679296	0	main
6eec1e38-b345-42e9-9b67-524bdcd5e9a6	2026-04-24T03:27:24.998Z	project-river	glm-5.1	130	22	12062	1060	337216	0	main
6c13239e-0ae2-41dd-9f5f-4851872c3e51	2026-04-24T06:17:03.404Z	blog	glm-5.1	220	31	151302	2031	119680	0	main
