session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
0b862f95-956e-4a24-bfd6-77048f1cd576	2026-07-23T10:52:49+08:00	-home-ant-code-golang-src-mcp-gateway	glm-5.2	709	18	85285	13451	1040960	0	master	0	claude
ses_0730cf0dfffeBcQa5qwpIXEzY9	2026-07-23T11:09:27+08:00	mcp-gateway	deepseek-v4-flash	961	50	47736	6693	1744640	0	master	5437	opencode
ses_0730a62c3ffe6k57Bnbbo1A4vB	2026-07-23T11:12:14+08:00	mcp-gateway	deepseek-v4-flash	62	20	50907	6608	473600	0	master	650	opencode
sess_64ed975f-0d0c-472d-85a6-1a30307351a7	2026-07-23T15:09:41+08:00	default	GLM-5.2	343	3	791106	9404	713920	0	main	0	zcode
sess_d5c039e0-e92d-49da-8bb6-8426b2ffebc0	2026-07-23T09:45:20+08:00	scrm-api	GLM-5.2	1722	7	3863224	24722	3707264	0	master	0	zcode
