session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
32673215-6fe4-435a-bf31-21a736d90dc7	2026-05-08T09:26:56+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	4326	136	276502	48008	15732480	0	main
6d7c9a23-7064-463d-8dc0-a2bebb7ac5cc	2026-05-08T11:28:19+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	59	5	21682	722	121280	0	main
8501d804-ad2e-4109-899e-d51da99ff94c	2026-05-08T03:16:45.673Z	xueqiu-crawler	glm-5.1	621	19	83258	3419	263168	0	main
f00598a7-819a-4df4-b9c9-227b070e47c6	2026-05-08T11:30:09+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	66	6	22632	2511	160960	0	main
8c04e4b4-0bdc-455f-8345-35ee03a6d0de	2026-05-08T11:30:34+08:00	-home-ant-code-java-java-server-inherit	glm-5.1	46759	35	122638	26759	2181824	0	fix/NFQX-11933
92a5a978-c340-4da8-991c-295b03fd6359	2026-05-08T03:30:31.362Z	xueqiu-crawler	glm-5.1	0	2	6111	68	19136	0	main
439dc7ae-d2f5-40f2-9b7d-bddc905ff6aa	2026-05-08T11:53:11+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	121	4	11612	5571	114816	0	main
39794b45-94e1-4640-9ef4-a26c3bfc385e	2026-05-08T03:46:14.980Z	xueqiu-crawler	glm-5.1	143	10	38656	3270	49984	0	main
c67d94fd-e4c5-44e8-879b-1c96d9ed627d	2026-05-08T03:41:08.909Z	xueqiu-crawler	glm-5.1	279	13	9237	5228	243136	0	main
6888d23f-cbdf-411a-bf7e-99afe1834ceb	2026-05-08T12:02:13+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	530	30	22847	9453	1247296	0	main
66ff3989-e571-4d2f-8da2-d176d31b056e	2026-05-08T16:04:50+08:00	-home-ant-code-java-java-server-inherit	glm-5.1	1778	18	104832	12778	1045888	0	master
72992af9-70db-4069-89cf-444bfb0b8025	2026-05-08T08:03:52.694Z	xueqiu-crawler	glm-5.1	9	3	8923	282	18560	0	main
fda1daf0-d66e-471c-9e39-404e09eaa5a2	2026-05-08T16:29:53+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	44	4	19322	1321	94848	0	main
0abecf06-c09b-4603-bc8f-9802e65b6deb	2026-05-08T08:17:58.323Z	xueqiu-crawler	glm-5.1	660	29	60654	8779	369216	0	main
9fc88411-e02a-47e0-802d-d8778e2a47f1	2026-05-08T16:31:27+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	80	8	27817	2149	218816	0	main
