session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
3e462f2d-ab7d-4590-aed6-f720485804cb	2026-07-14T10:51:59+08:00	-home-ant-code-java-scrm-api	glm-5.2	878	17	49989	11264	927488	0	fix/NFQX-12413	0	claude
5bdd705d-ddcc-45a7-a6bc-9bfa5c617bc1	2026-07-14T08:00:41.831Z	scrmgo	glm-5.2	4178	67	136898	17862	2064960	0	master	0	claude
d2683ddb-5232-4213-b389-52d0b519621a	2026-07-14T08:00:29.892Z	scrm-api	glm-5.2	5524	49	143997	22869	1013248	0	dev	0	claude
